"","X","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI","rowcount0s","rowcount1s","rowcount2s","rowcount3s","rowcount4s"
"OWNGUN",629,"OWNGUN",4.82333333333333,47.8033333333333,3,-0.66,1195,0,0,23,3997
"PILLOK",674,"PILLOK",15.69625,15.20125,14,4.9,1163,9,0,7,4036
"PISTOL",675,"PISTOL",3.755,34.73,3,-1.18,1198,18,2,0,3997
"POLVIEWS",682,"POLVIEWS",8.138,25.9,4,3.83333333333333,1784,16,7,12,3396
"POORSERV",683,"POORSERV",6.72714285714286,50.9471428571429,5,0.74,1189,7,2,7,4010
"POPESPKS",684,"POPESPKS",9.0875,29.21,6,0.1,390,2,3,1,4819
"POSTLIFE",689,"POSTLIFE",6.78,47.3166666666667,5,-0.225,1740,57,3,16,3399
"PRAY",690,"PRAY",2.48333333333333,59.86,2,-1.32,1806,1,10,6,3392
"PRAYER",691,"PRAYER",8.8952380952381,33.6766666666667,6,3.75,1168,7,0,5,4035
"PREMARSX",693,"PREMARSX",10.2408333333333,33.5858333333333,8,4.98,1170,6,1,2,4036
"PRES16",695,"PRES16",4.96444444444445,15.5677777777778,3,-1.005,1259,43,77,12,3824
"RACDIF1",706,"RACDIF1",7.6,41.55,1.5,-1.15,1151,17,1,10,4036
"RACDIF2",707,"RACDIF2",4.4925,52.5425,1.5,-0.7,1165,6,0,7,4037
"RACDIF3",708,"RACDIF3",5.31239130434783,47.8041304347826,2,0.1675,1154,17,1,6,4037
"RACDIF4",709,"RACDIF4",6.28240740740741,30.0553703703704,3,0.7275,1152,16,2,8,4037
"RACLIVE",714,"RACLIVE",8.00909090909091,39.1372727272727,5,-0.675,1686,130,2,4,3393
"RACOPEN",715,"RACOPEN",7.655,42.3438888888889,5,6.06,601,1,2,2,4609
"RACWORK",716,"RACWORK",6.64761904761905,49.51,4,0.705,621,20,14,7,4553
"RANK",719,"RANK",4.00307692307693,45.2864102564103,2.33333333333333,1.165,1763,18,6,28,3400
