"","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI"
"194","DWELLING",NA,NA,NA,NA
"195","DWELLPRE",NA,NA,NA,NA
"196","DWELOWN",5.99333333333333,47.3166666666667,3,-0.075
"197","DWELOWN16",NA,NA,NA,NA
"198","EARNRS",NA,NA,NA,NA
"199","EARTHSUN",NA,NA,NA,NA
"200","EDUC",NA,NA,NA,NA
"201","EGOMEANS",NA,NA,NA,NA
"202","ELECTRON",NA,NA,NA,NA
"203","EMAILHR",9.83052631578948,35.89,7,0.685
"204","EMAILMIN",9.83052631578948,35.89,7,0.685
"205","EMOPROBS",NA,NA,NA,NA
"206","EMPINPUT",NA,NA,NA,NA
"207","EMPTRAIN",NA,NA,NA,NA
"208","ENDSMEET",NA,NA,NA,NA
"209","EQWLTH",NA,NA,NA,NA
"210","ESOP",NA,NA,NA,NA
"211","ESOPNOT",NA,NA,NA,NA
"212","ETH1",NA,NA,NA,NA
"213","ETH2",NA,NA,NA,NA
"214","ETH3",NA,NA,NA,NA
"215","ETHNIC",NA,NA,NA,NA
"216","ETHNUM",NA,NA,NA,NA
"217","EVCRACK",NA,NA,NA,NA
"218","EVIDU",NA,NA,NA,NA
"219","EVOLVED",NA,NA,NA,NA
"220","EVOLVED2",NA,NA,NA,NA
"221","EVPAIDSX",NA,NA,NA,NA
"222","EVSTRAY",NA,NA,NA,NA
"223","EVWORK",1.29,57.1,1,-1
"224","EXPDESGN",NA,NA,NA,NA
"225","EXPTEXT",NA,NA,NA,NA
"226","EXTR2017",NA,NA,NA,NA
"227","EXTRAPAY",NA,NA,NA,NA
"228","EXTRAVAL",NA,NA,NA,NA
"229","EXTRAYR",NA,NA,NA,NA
"230","FAIR",NA,NA,NA,NA
"231","FAIREARN",NA,NA,NA,NA
"232","FAMDIF16",NA,NA,NA,NA
"233","FAMGEN",NA,NA,NA,NA
"234","FAMILY16",NA,NA,NA,NA
"235","FAMMHNEG",NA,NA,NA,NA
"236","FAMPRESS",NA,NA,NA,NA
"237","FAMVSWK",NA,NA,NA,NA
"238","FAMWKOFF",NA,NA,NA,NA
"239","FATALISM",NA,NA,NA,NA
"240","FATIGUE",NA,NA,NA,NA
"241","FEAR",8.54454545454546,40.1836363636364,6,1.14
"242","FECHLD",10.1536363636364,35.8654545454545,7,1.36
"243","FEELEVEL",NA,NA,NA,NA
"244","FEELREL",NA,NA,NA,NA
"245","FEEUSED",NA,NA,NA,NA
"246","FEFAM",10.8884615384615,38.7523076923077,7,2.66
"247","FEHIRE",13.0733333333333,15.65,9,0.075
"248","FEJOBAFF",NA,NA,NA,NA
"249","FEPOL",8.75666666666667,39.8866666666667,5,-0.54
"250","FEPRESCH",4.91076923076923,47.7223076923077,4,-0.655
"251","FINALTER",9.32,40.7,6,0.9
"252","FINRELA",12.1378571428571,35.6392857142857,8,3.3125
"253","FIRSTYOU",NA,NA,NA,NA
"254","FISH",NA,NA,NA,NA
"255","FISHB4",NA,NA,NA,NA
"256","FORM",NA,NA,NA,NA
"257","FORMWT",NA,NA,NA,NA
"258","FRINGEOK",NA,NA,NA,NA
"259","FRNDSEX",NA,NA,NA,NA
"260","FUCITZN",NA,NA,NA,NA
"261","FUND",NA,NA,NA,NA
"262","FUND16",NA,NA,NA,NA
"263","GENDER1",NA,NA,NA,NA
"264","GENDER10",NA,NA,NA,NA
"265","GENDER11",NA,NA,NA,NA
"266","GENDER12",NA,NA,NA,NA
"267","GENDER2",NA,NA,NA,NA
"268","GENDER3",NA,NA,NA,NA
"269","GENDER4",NA,NA,NA,NA
"270","GENDER5",NA,NA,NA,NA
"271","GENDER6",NA,NA,NA,NA
"272","GENDER7",NA,NA,NA,NA
"273","GENDER8",NA,NA,NA,NA
"274","GENDER9",NA,NA,NA,NA
"275","GENEABRT2",NA,NA,NA,NA
"276","GENEGEN",NA,NA,NA,NA
"277","GENEGOO2",NA,NA,NA,NA
"278","GENESELF2",NA,NA,NA,NA
"279","GENETICS",NA,NA,NA,NA
"280","GENETST1",NA,NA,NA,NA
"281","GETAHEAD",6.50625,52.96,4.5,1.38
"282","GOAT",NA,NA,NA,NA
"283","GOATB4",NA,NA,NA,NA
"284","GOD",NA,NA,NA,NA
"285","GODCHNGE",NA,NA,NA,NA
"286","GODMEANS",NA,NA,NA,NA
"287","GODSWILL",NA,NA,NA,NA
"288","GOODLIFE",NA,NA,NA,NA
"289","GOVEQINC",NA,NA,NA,NA
"290","GOVLAZY",NA,NA,NA,NA
"291","GOVVSREL",NA,NA,NA,NA
"292","GRANBORN",NA,NA,NA,NA
"293","GRASS",NA,NA,NA,NA
"294","GUNLAW",10.208,31.55,8,1.875
"295","HANDMOVE",NA,NA,NA,NA
"296","HAPCOHAB",11.2263636363636,44.5018181818182,9,1.36
"297","HAPMAR",6.277,55.375,5,0.1875
"298","HAPPY",9.98076923076923,38.7523076923077,7,2.14
"299","HAPUNHAP",NA,NA,NA,NA
"300","HAVEINFO",NA,NA,NA,NA
"301","HEALTH",5.04142857142857,47.5542857142857,2,-0.24
"302","HEALTH1",NA,NA,NA,NA
"303","HEALTHISSP",NA,NA,NA,NA
"304","HEAVEN",NA,NA,NA,NA
"305","HEFINFO",NA,NA,NA,NA
"306","HEIGHT",NA,NA,NA,NA
"307","HELL",NA,NA,NA,NA
"308","HELPBLK",NA,NA,NA,NA
"309","HELPFRDS",NA,NA,NA,NA
"310","HELPFUL",NA,NA,NA,NA
"311","HELPNOT",NA,NA,NA,NA
"312","HELPOTH",NA,NA,NA,NA
"313","HELPPOOR",NA,NA,NA,NA
"314","HELPSICK",NA,NA,NA,NA
"315","HHRACE",NA,NA,NA,NA
"316","HHTYPE",NA,NA,NA,NA
"317","HHTYPE1",NA,NA,NA,NA
"318","HINDUS",NA,NA,NA,NA
"319","HISPANIC",NA,NA,NA,NA
"320","HIVTEST",NA,NA,NA,NA
"321","HIVTEST1",NA,NA,NA,NA
"322","HIVTEST2",NA,NA,NA,NA
"323","HLPADVCE",NA,NA,NA,NA
"324","HLPDOWN",NA,NA,NA,NA
"325","HLPEQUIP",NA,NA,NA,NA
"326","HLPHOME",NA,NA,NA,NA
"327","HLPJOB",NA,NA,NA,NA
"328","HLPLOAN",NA,NA,NA,NA
